FP_line,FP_sample,FP_latitude,FP_longitude,FP_T21,FP_T31,FP_MeanT21,FP_MeanT31,FP_MeanDT,FP_MAD_T21,FP_MAD_T31,FP_MAD_DT,FP_power,FP_AdjCloud,FP_AdjWater,FP_NumValid,FP_confidence
1555,718,64.5636,-145.13,388.149,297.887,303.683,293.399,10.2842,5.56213,2.15794,4.51472,193.363,1,0,20,94
1560,717,64.5256,-145.192,314.308,296.953,300.936,294.007,6.92962,3.2022,0.506333,2.95706,12.2125,0,0,17,20
1560,724,64.5036,-145.054,323.444,296.006,300.2,293.003,7.19706,3.04203,1.14636,2.92235,23.5423,0,0,15,76
1568,862,63.9593,-142.349,315.633,297.442,304.289,297.668,6.62195,3.5009,1.94315,1.57575,12.2564,0,0,22,39
1572,863,63.9249,-142.362,333.514,298.179,306.476,297.628,8.84817,4.93381,1.74748,3.34465,36.9306,0,0,20,82
1572,864,63.921,-142.341,321.319,298.354,308.099,298.456,9.64299,3.71981,1.66517,2.57877,15.9416,0,0,20,48
1573,864,63.9124,-142.35,352.244,298.554,307.934,297.437,10.4969,4.71986,1.37057,3.9467,76.7454,0,0,21,96
1573,865,63.9086,-142.329,340.759,299.901,309.938,297.944,11.9942,4.35623,1.36155,4.09782,47.5611,0,0,21,90
1574,868,63.8883,-142.275,332.174,297.442,306.363,296.908,9.45491,5.02619,1.69021,3.78683,34.8995,0,0,22,79
1575,867,63.8835,-142.304,321.069,296.72,304.615,296.776,7.83899,4.30076,1.66675,2.76705,19.1432,0,0,20,56
1575,868,63.8796,-142.283,320.94,295.187,303.932,296.546,7.38621,3.79559,1.55104,2.37597,19.6423,0,0,21,64
1576,851,63.9353,-142.641,323.841,289.001,298.234,285.812,12.4211,4.43388,3.07493,4.73647,28.2116,2,0,16,57
1577,851,63.9267,-142.65,322.814,291.733,297.277,286.724,10.5535,3.06561,2.27895,4.18324,27.5123,1,0,18,64
1578,851,63.918,-142.658,386.881,293.489,298.622,286.485,12.1362,5.66916,2.89243,5.55101,211.98,0,0,21,100
1578,852,63.9143,-142.637,337.498,290.522,298.263,284.366,13.8977,5.80562,4.09969,6.15619,51.1437,0,0,21,83
1594,951,63.3823,-140.68,334.061,298.542,304.84,295.625,9.21493,7.77337,1.32819,6.59126,45.89,0,0,22,47
1601,964,63.2695,-140.452,324.459,299.151,302.624,297.538,5.08556,1.06486,0.584629,0.552528,30.7427,0,0,22,78
1601,965,63.2649,-140.429,321.061,298.512,302.539,297.513,5.02547,1.15051,0.63634,0.608949,25.0792,0,0,22,73
1603,813,63.8494,-143.631,338.998,295.461,303.392,292.77,10.6222,6.71799,2.59267,4.54851,47.5485,0,0,22,85
1603,814,63.8459,-143.611,328.329,293.905,301.938,291.744,10.1935,6.58188,3.06899,4.25498,30.5925,0,0,20,64
1605,808,63.8494,-143.744,319.114,297.753,304.198,294.445,9.75302,3.88235,1.44102,2.66435,15.7771,0,0,22,44
1607,798,63.8668,-143.959,317.565,295.703,300.653,293.867,6.78659,3.63134,1.00338,2.75391,16.7594,0,0,20,58
1607,881,63.565,-142.285,322.754,298.397,304.27,296.92,7.34978,5.06115,1.35938,3.84093,22.2976,0,0,22,45
1609,799,63.8462,-143.954,336.295,294.776,303.501,293.857,9.64385,6.62746,1.54637,5.2031,41.8994,0,0,20,80
1609,800,63.8427,-143.934,341.109,298.263,305.841,294.41,11.4306,6.13803,1.80717,4.97863,48.8661,0,0,20,89
1609,801,63.8392,-143.914,325.791,299.427,306.879,294.974,11.9057,4.76862,1.80973,3.84187,22.1125,0,0,19,40
1609,880,63.5513,-142.322,324.06,298.215,307.723,298.68,9.04321,4.44382,1.81819,2.8958,20.7203,0,0,22,56
1610,800,63.8365,-143.945,320.216,293.974,298.439,292.528,5.91085,2.9382,0.678173,2.37126,21.8004,0,0,16,72
1610,801,63.833,-143.925,341.97,299.829,299.88,292.771,7.10913,3.82152,0.76683,3.37805,55.7315,0,0,17,91
1610,802,63.8296,-143.905,326.46,299.205,301.976,293.229,8.74756,5.30058,1.05775,4.62147,27.456,0,0,17,51
1612,883,63.5183,-142.285,357.552,301.351,305.001,297.14,7.86117,4.8919,1.83533,3.43594,97.0729,0,0,21,99
1612,884,63.5144,-142.264,331.103,296.554,304.033,296.689,7.34382,4.51968,1.52004,3.34503,36.1292,0,0,21,84
1613,884,63.5056,-142.273,348.151,298.324,303.764,296.401,7.36307,3.99845,1.53338,2.76825,72.497,0,0,18,94
1615,883,63.492,-142.31,334.061,297.54,305.695,296.365,9.33029,5.50982,1.81421,3.99671,39.8107,0,0,21,80
1615,884,63.4881,-142.289,336.374,295.839,304.701,295.995,8.70582,5.32791,1.46402,4.06683,45.3127,0,0,21,87
1616,883,63.4832,-142.318,324.698,295.591,302.471,295.755,6.71545,3.43294,1.0313,2.77867,27.0109,0,0,20,78
1617,862,63.5549,-142.757,327.962,296.517,305.285,294.13,11.1549,5.62268,3.43451,2.9061,28.6226,0,0,20,65
1618,862,63.5461,-142.765,325.63,297.668,306.158,295.461,10.6967,6.0227,2.64425,3.74996,24.1268,0,0,19,40
1619,862,63.5374,-142.773,333.044,296.892,305.642,296.276,9.36594,5.95369,2.124,4.00577,36.8621,0,0,19,75
1619,863,63.5336,-142.753,322.099,296.708,307.776,297.585,10.1908,4.64071,2.16871,3.33199,17.3459,0,0,19,31
1620,863,63.5293,-142.763,326.728,296.763,303.611,294.401,9.20996,5.38403,5.2232,2.35769,28.3031,0,0,17,67
1620,881,63.4612,-142.394,327.875,298.3,305.208,296.438,8.76998,5.70411,1.35199,4.49283,29.3325,0,0,15,55
1621,879,63.4602,-142.444,335.538,302.504,312.045,298.59,13.4552,4.87329,1.50183,4.71148,35.5278,0,0,18,60
1621,880,63.4563,-142.423,339.473,299.931,310.097,297.803,12.2938,6.74818,1.96791,5.42106,45.6842,0,0,18,69
1623,881,63.4349,-142.419,323.094,297.601,302.642,295.617,7.02576,4.80394,0.918563,3.91322,24.3526,0,0,19,55
1627,864,63.4646,-142.799,328.378,301.203,306.742,297.047,9.69464,6.61064,2.33425,4.59728,27.9302,0,0,22,33
1630,873,63.409,-142.641,318.213,298.124,303.805,297.344,6.46087,3.95656,2.41011,1.90995,16.2058,0,0,16,51
1631,873,63.4001,-142.648,325.486,298.512,304.289,297.137,7.15166,5.34646,2.07222,3.37054,26.1097,0,0,22,62
1637,941,63.0725,-141.271,328.937,297.32,304.613,297.389,7.2239,4.89549,2.59333,2.62414,35.1425,0,0,22,75
1638,933,63.0977,-141.451,313.904,298.154,303.848,298.34,5.50841,2.79357,1.65982,1.18305,11.8859,0,0,22,43
1675,1011,62.4387,-140.023,349.105,299.277,304.389,295.438,8.95099,5.49163,1.54681,3.99545,96.3586,0,0,21,95
